contraente_key,classificazione,regola,occorrenze
2M+A ARCHITETTURA & INGEGNERIA,non_classificato,nessun_segnale_esplicito,1
2WARE S.R.L.,organization,org_srl,1
3F&EDIN SPA,organization,org_spa,1
3G DI MAZARESE G. LAUDICINA G. E PUMO A. S.N.C.,organization,org_snc,1
4 EMME SERVICE S.P.A,organization,org_spa,1
A & C ECOTECH S.R.L,organization,org_srl,1
A PROPRIO CARICO AD UN PREZZO,non_classificato,nessun_segnale_esplicito,1
A. MANZONI & C. S.P.A.,organization,org_spa,1
A. MANZONI & C. SPA,organization,org_spa,1
A.G.PEGASUS SRL,organization,org_srl,1
A.GEG SRL,organization,org_srl,1
A.I.R. TECH S.R.L,organization,org_srl,6
A.MANZONI & C. SPA,organization,org_spa,1
A.S.T.E. CONGRESS S.R.L.,organization,org_srl,1
A2A ENERGIA SPA,organization,org_spa,1
A2A ENERGIA SPA PER IL PERIODO 01.07.2025 – 30.06.2026,organization,org_spa,1
A2BI ENGINEERING S.R.L.,organization,org_srl,1
A72 DI CHIORLIN,non_classificato,nessun_segnale_esplicito,1
AB TENDE SRL,organization,org_srl,1
ABITARE VERDE DI NOCCHI ANTONIO,non_classificato,nessun_segnale_esplicito,1
ACCA SOFTWARE S.P.A,organization,org_spa,1
ACCA SOFTWARE S.P.A.,organization,org_spa,2
ACCA SOFTWARE SPA,organization,org_spa,1
ACCENTURE,non_classificato,nessun_segnale_esplicito,1
ACCENTURE S.P.A.,organization,org_spa,1
ACE RECRUITERS CANADA CORPORATION,non_classificato,nessun_segnale_esplicito,1
ADALTA S.N.C. DI FAZZI MARCO E,organization,org_snc,1
ADCOM S.R.L.,organization,org_srl,1
ADN-KRONOS SPA,organization,org_spa,1
ADNKRONOS SOCIETA' PER AZIONI - AGENZIA GIORNALISTICA DI INFORMAZIONI UNIPERSONALE,organization,org_societa_generica,1
ADPARTNERS S.R.L,organization,org_srl,2
ADRIATICA APPALTI S.R.L.,organization,org_srl,2
ADRIATICA APPALTI SRL,organization,org_srl,1
ADV STUDIO SCS ONLUS,non_classificato,nessun_segnale_esplicito,2
ADVERTISING SRL,organization,org_srl,1
AEFFE CONSULTING SRL,organization,org_srl,1
AFFIDATARIO DICHIARA E GARANTISCE DI ESS,non_classificato,nessun_segnale_esplicito,2
AFFIDATARIO QUALE SOGGETTO TERZO È TENUTO,non_classificato,nessun_segnale_esplicito,1
AFFIDATARIO SIA IN REGOLA CON I REQUISITI GENERALI E PROFESS,non_classificato,nessun_segnale_esplicito,1
AFRICA MEDIAS FINANCEÈ,non_classificato,nessun_segnale_esplicito,1
AFRICAMEDIASFINANCE,non_classificato,nessun_segnale_esplicito,1
AG SYSTEM S.R.L.,organization,org_srl,1
AGE ASSICURAZIONE GESTIONE ENTI S,non_classificato,nessun_segnale_esplicito,1
AGENZIA D'IPPOLITO DI ALESSANDRA D'IPPOLITO & C,non_classificato,nessun_segnale_esplicito,1
AGENZIA DEL MARKETING EDITORIALE SRL,organization,org_srl,1
AGENZIA NAZIONALE PER L'ATTRAZIONE DEGLI INVESTIMENTI E LO SVILUPPO D'IMPRESA S.P.A.,organization,org_spa,1
AGENZIA NAZIONALE PER LA SICUREZZA DELLE FERROVIE E DELLE INFRASTRUTTURE STRADALI E AUTOSTRADALI (ANSFISA),non_classificato,nessun_segnale_esplicito,1
AGGIUDICATARIA SARÀ TENUTA AD ASS,non_classificato,nessun_segnale_esplicito,1
AGIC TECHNOLOGY,non_classificato,nessun_segnale_esplicito,1
AGIC TECHNOLOGY SRL,organization,org_srl,1
AGRICOLA IL VERDE DI GIANNI ROBERTO E COLONNA ANTONIO - SOCIETA' IN NOME COLLETTIVO,organization,org_societa_generica,1
AGRICOLA MONTE SAN PANTALEONE - COOPERATIVA,organization,org_cooperativa,1
AGRIFOLIA STUDIO ASSOCIATO,organization,org_studio_prof,1
AHRCOS SPA,organization,org_spa,1
AICOMPLY SRL,organization,org_srl,1
AIM SPORT S.R.L.,organization,org_srl,1
AIR FIRE S.P.A.,organization,org_spa,1
AIRIS S.R.L.,organization,org_srl,1
AIRONE SOCIETÀ COOPERATIVA,organization,org_cooperativa,1
AISAR DI ARLEO GIOVANNI,non_classificato,nessun_segnale_esplicito,1
AISTECH SRL,organization,org_srl,1
AK SRL,organization,org_srl,1
ALAB DI ROBERTO ALESS,non_classificato,nessun_segnale_esplicito,1
ALCANTARA S.R.L,organization,org_srl,1
ALES ARTE LAVORO E SERVIZI S.P.A.,organization,org_spa,1
ALES S.P.A.,organization,org_spa,2
ALES SPA,organization,org_spa,1
ALES – ARTE LAVORO E SERVIZI S.P.A,organization,org_spa,1
ALESSANDRO CIOCCI,non_classificato,nessun_segnale_esplicito,1
ALESSIO FORMICOLA - LIBERO PROFESSIONISTA,non_classificato,nessun_segnale_esplicito,1
ALESSIO MICELI,non_classificato,nessun_segnale_esplicito,1
ALFA AMBIENTE CONSULTING SOCIETA' A RESPONSABILITA' LIMITATA,organization,org_societa_generica,1
ALFONSO SCUOTTO GROUP S.R.L.,organization,org_srl,3
ALGECO S.P.A.,organization,org_spa,1
ALGECO SPA,organization,org_spa,1
ALIMENTARI LUCA DI SANTE,non_classificato,nessun_segnale_esplicito,8
ALIS S,non_classificato,nessun_segnale_esplicito,1
ALISEI SRL,organization,org_srl,1
ALL COMPUTERS S.R.L,organization,org_srl,1
ALMA S.R.L,organization,org_srl,1
ALMA S.R.L.,organization,org_srl,2
ALMABOX SRL,organization,org_srl,1
ALMAVIVA S.P.A.,organization,org_spa,1
ALNITAK SRLS,organization,org_srl,1
ALPHAOMEGA S.R.L.,organization,org_srl,1
ALPHAVILLE TRADUZIONI E SERVIZI EDITORIALI -,non_classificato,nessun_segnale_esplicito,1
ALTFIRE SRL,organization,org_srl,1
ALTOP S,non_classificato,nessun_segnale_esplicito,2
"ALTRE PUBBLICHE AMMINISTRAZIONI, DIMOSTRANDOSI AFFIDABILE",non_classificato,nessun_segnale_esplicito,1
ALVAREZ & MARSAL (A&M) ITALIA S.R.L.,organization,org_srl,1
AM COSTRUZIONI SRL,organization,org_srl,1
