relation_type,subject_type,subject_key,object_type,object_key,source_dataset,source_record_id,period,acquisition_date,confidence_note,amount_if_present,ipa,source_url
cig_linked_to_entity,cig,7990067BDD,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,689702f2e0c0cea78f00b1cd4ff3ef35685f356f5d453f78e189703bd3c8176e,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,108512.8,aifa_rm,https://www.aifa.gov.it/documents/20142/2387462/CIG-B16CA05443_Det-aut-all_09.05.2024.zip
cig_linked_to_entity,cig,8705723DE0,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,e268b92c0b38ce12bf0e600221ec0a47f673481af30c1da72ddabba7ee485675,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,81000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2461805/CIGB1F381799F_determina_all_25.06.2024.zip
cig_linked_to_entity,cig,9170875D73,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,b4e05a05bc4b9d2d941bbd30b49d9b16bfc58d361d3d093d4d8b3657163c4651,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,68400.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2475389/CIGB27196BA17_determina_all_19.07.2024.zip
cig_linked_to_entity,cig,93758235E6,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,38e12997968d91529454c9afba3caff9097dbb410f7c0069cd965fa853ee3216,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,108512.8,aifa_rm,https://www.aifa.gov.it/documents/20142/2387462/CIG-B16CA05443_Det-aut-all_09.05.2024.zip
cig_linked_to_entity,cig,938127268E,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,ed1a2756f5f9653319b614e91d57c3e11d5c2dead25bc054129fedce6ffb2132,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,15395.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2473428/CIGB271A81F7F_determina_all.zip
cig_linked_to_entity,cig,9502583390,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,467a67c511cf50633697cd5c8c8fcd50802d39e9178d14954d7b863ec45bbcc8,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,135000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2635237/CIG-9502583390_Det-aut-modif-contratto_09.12.2024.zip
cig_linked_to_entity,cig,9924489B66,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,a0cac9a0abd6d9a49f42724aa4990f040bedbf4b6fdca67400b2f822067e8a1b,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,110000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2459706/CIGB20240D23D_det_all_24.06.2024.zip
cig_linked_to_entity,cig,9966075941,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,e29af5bc742defd80d0ca3b1b3d14d87039e24778dcd41e2a32d88472e7d2812,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,60000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2374426/CIG-B16C72FD23_det-aut-all_30.04.2024.zip
cig_linked_to_entity,cig,A0253AAF89,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,5d5abb5f3d5c8e300251536b9565bff0145d7ce556fea2fff9e10a7fa34648f7,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,528.04,aifa_rm,https://www.aifa.gov.it/documents/20142/2318805/CIGA0253AAF89_determina_allegati_22.03.2024.zip
cig_linked_to_entity,cig,B0951F992C,public_entity,Agenzia Italiana del Farmaco - AIFA,affidamenti-diretti,63091cbd9951723b67ce629d2e7e508044ec8828191d1880a5357ee8e420a860,2024-01-01,2026-09-02,riga sorgente con copertura dichiarata incompleta su importi/contraenti/date,38000.0,aifa_rm,https://www.aifa.gov.it/documents/20142/2282050/CIGB0951F992C_determina_all_01.03.2024.zip
