relation_type,subject_type,subject_key,object_type,object_key,source_dataset,source_record_id,period,acquisition_date,confidence_note,act_kind,authorization_object,ipa,cig_if_present,fonte_url
organization_has_appointment,organization,Studio Corrado Associazione Interprofessionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,72395543ded71700a4db112a616e784bcdbfbed53a47e66ab945596e82d061c8,2024-08-01,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Corrado%20Associazione%20Interprofessionale%20-%20-&anno=2024&idProfessionista=6646&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Corrado Associazione Interprofessionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,4fd3fa68152ba3e143ed8da97c031d51873feee99378ef0c9d2aaa8efb7bdeb8,2024-08-07,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Corrado%20Associazione%20Interprofessionale%20-%20-&anno=2024&idProfessionista=6646&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Legale Sanci Associazione Professionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,7259a6f806d426a7992ec88964f410207cd921aec7a29298b4b315cfe9e60aba,2024-08-08,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Legale%20Sanci%20Associazione%20Professionale%20-%20-&anno=2024&idProfessionista=7178&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Waco Associazione Professionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,7bbc331417504f33ed2f1e7fcb3c8b1f13358cdb6c46e16435e23b13cfe633ad,2024-08-10,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Waco%20Associazione%20Professionale%20-%20-&anno=2024&idProfessionista=6682&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Legale Sanci Associazione Professionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,5d03cf67cc5945c1388793be179031a3fc21a707732a54da0f7618941a207dce,2024-08-19,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Legale%20Sanci%20Associazione%20Professionale%20-%20-&anno=2024&idProfessionista=7178&societa=Agenzia%20delle%20entrate-Riscossione
person_has_appointment,person,Avv. Domenico Cantavenera,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,55d31d974d1d2bf22545264a4c54b589a6eba201006b83b7f4186ea3c1f8a1b6,2024-08-20,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,Rappresentanza in giudizio,esrsris,,https://www.agenziaentrateriscossione.gov.it/it/il-gruppo/amministrazionetrasparente/consulentiCollaboratori/titolari-di-incarichi-di-collaborazione-o-consulenza/incarichi-di-rappresentanza-in-giudizio-di-agenzia-delle-entrate-riscossione-2024/
person_has_appointment,person,Avv. Marco Marazza,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,3ff98696d5024760f133355caf04708359e31c17d5d6d741e85b332995648e2c,2024-08-20,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,Rappresentanza in giudizio,esrsris,,https://www.agenziaentrateriscossione.gov.it/it/il-gruppo/amministrazionetrasparente/consulentiCollaboratori/titolari-di-incarichi-di-collaborazione-o-consulenza/incarichi-di-rappresentanza-in-giudizio-di-agenzia-delle-entrate-riscossione-2024/
organization_has_appointment,organization,Studio Legale Sanci Associazione Professionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,ad22f3f9e8fb4624f85346395d326bb7da6f9627da5b8c9d13e6ede81c3925fb,2024-09-04,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Legale%20Sanci%20Associazione%20Professionale%20-%20-&anno=2024&idProfessionista=7178&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Corrado Associazione Interprofessionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,2c575d820ee486f5bf227aa108da1998e9053caa5489099e9749be25d858226b,2024-09-05,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Corrado%20Associazione%20Interprofessionale%20-%20-&anno=2024&idProfessionista=6646&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Legale Sanci Associazione Professionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,787f75891b068a1d35d54bf25c11ee36e96ce74ae4957175cabb2885ba79c92e,2024-09-05,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Legale%20Sanci%20Associazione%20Professionale%20-%20-&anno=2024&idProfessionista=7178&societa=Agenzia%20delle%20entrate-Riscossione
organization_has_appointment,organization,Studio Corrado Associazione Interprofessionale - -,public_entity,Agenzia delle Entrate-Riscossione,parti-atti,3e0075f81c63c8c9a79e2c423469495d0e44c70a15afac5e6e2babf57d58c0ff,2024-09-09,2026-08-25,istanza fisica di atto: lo stesso soggetto può ricorrere e i conteggi non sono somme di spesa; classificazione soggetto da regole conservative (docs/NORMALIZZAZIONE.md),incarico,rappresentanza in giudizio,esrsris,,https://www.entrateriscossione.it/AmministrazioneTrasparente/visualizzaInfoProfessionistaADER?nominativo=Studio%20Corrado%20Associazione%20Interprofessionale%20-%20-&anno=2024&idProfessionista=6646&societa=Agenzia%20delle%20entrate-Riscossione
